snapped_at,price,market_cap,total_volume
2024-02-13 00:00:00 UTC,2657.990407976775,318954602301.2163,15004272817.756506
2024-02-14 00:00:00 UTC,2641.5360974921623,317202178157.9689,20206467469.25591
2024-02-15 00:00:00 UTC,2780.372974906562,334517950729.3397,23414613028.17406
2024-02-16 00:00:00 UTC,2826.821475855177,339786694521.5841,25584981558.624416
2024-02-17 00:00:00 UTC,2807.3717030539606,337473828365.6669,16920199808.887981
2024-02-18 00:00:00 UTC,2788.561332499608,335189522076.6866,18359069390.21388
2024-02-19 00:00:00 UTC,2874.945276040071,345342293610.9262,24082010034.68869
2024-02-20 00:00:00 UTC,2943.723084777655,353799552082.8669,16450190201.022865
2024-02-21 00:00:00 UTC,3015.438952062055,362259530911.22736,22509955315.753277
2024-02-22 00:00:00 UTC,2977.0820166829903,358396919523.1304,20964306604.965725
2024-02-23 00:00:00 UTC,2974.1315861319913,357231363983.11096,20347103477.61334
2024-02-24 00:00:00 UTC,2926.2859129063513,351923786349.8605,14754511206.054205
2024-02-25 00:00:00 UTC,2988.317384063568,358958857165.6327,11389585546.195946
2024-02-26 00:00:00 UTC,3113.4082982877167,374096903874.8583,15776617346.687586
2024-02-27 00:00:00 UTC,3173.62994683714,381265474877.3842,20165329047.545662
2024-02-28 00:00:00 UTC,3242.0476538223666,389432101336.1533,23696521431.113922
2024-02-29 00:00:00 UTC,3380.8039555421246,404949329424.75433,36665804472.19711
2024-03-01 00:00:00 UTC,3347.6904724233455,403025040377.09424,31202875938.140316
2024-03-02 00:00:00 UTC,3431.75199772032,413003335539.6049,18691101659.270218
2024-03-03 00:00:00 UTC,3421.89214692414,411127183431.9037,13440796396.989847
2024-03-04 00:00:00 UTC,3487.190931866777,418233465071.6696,15521857774.32606
2024-03-05 00:00:00 UTC,3634.311067557102,436264151585.7691,30343202732.344658
2024-03-06 00:00:00 UTC,3581.5348849085663,430091528234.3316,48669816283.38956
2024-03-07 00:00:00 UTC,3822.365818156151,458288266056.32635,39700333919.056915
2024-03-08 00:00:00 UTC,3861.9009990137733,464203366204.0903,25205795146.622765
2024-03-09 00:00:00 UTC,3893.6138841967036,467263068859.23145,27874421858.85126
2024-03-10 00:00:00 UTC,3916.041187699099,470299637817.79364,12069974984.534363
2024-03-11 00:00:00 UTC,3887.473104733291,466687383451.4314,17287014475.12306
2024-03-12 00:00:00 UTC,4070.6040749869985,488931556413.2426,32017734619.898235
2024-03-13 00:00:00 UTC,3978.685771378112,477282030875.49994,29816123516.352203
2024-03-14 00:00:00 UTC,4007.9121260756656,480989408310.4244,24518272534.97694
2024-03-15 00:00:00 UTC,3879.038366642958,465517630856.3542,27637220056.20402
2024-03-16 00:00:00 UTC,3738.381184462065,449221029692.6131,38514576896.82427
2024-03-17 00:00:00 UTC,3514.222472178163,422006707853.2583,20314832749.48201
2024-03-18 00:00:00 UTC,3643.280347379834,437397993876.3647,22282396647.176846
2024-03-19 00:00:00 UTC,3525.8936406700236,423582810891.4091,24255010456.17668
2024-03-20 00:00:00 UTC,3171.293836639821,381561860658.1416,37133280150.8351
2024-03-21 00:00:00 UTC,3515.6884318548646,422699933046.073,42295137774.34776
2024-03-22 00:00:00 UTC,3493.4304387798707,419250201097.8779,24617005638.07842
2024-03-23 00:00:00 UTC,3322.891277320318,398004903397.5174,22143063329.60288
2024-03-24 00:00:00 UTC,3353.371241538487,402787267255.35004,13554704159.635406
2024-03-25 00:00:00 UTC,3454.257071389558,415227254119.21,12747604656.722906
2024-03-26 00:00:00 UTC,3588.493402189288,429834400084.37524,19900586068.611336
2024-03-27 00:00:00 UTC,3591.5485279028403,430639202176.35944,20094722140.101074
2024-03-28 00:00:00 UTC,3505.2181161826984,419542828392.99164,20203376602.227142
2024-03-29 00:00:00 UTC,3560.26151146781,427723174069.21906,17254415551.733036
2024-03-30 00:00:00 UTC,3516.096057627979,422181197071.7956,13632549894.688292
2024-03-31 00:00:00 UTC,3507.6606559474685,420903294887.95514,10414010868.767834
2024-04-01 00:00:00 UTC,3644.767598784896,437709753307.89496,10412761139.068478
2024-04-02 00:00:00 UTC,3508.2477201085417,421860021837.67065,17482844811.257694
2024-04-03 00:00:00 UTC,3274.901203544406,393781420276.9656,23868370966.893692
2024-04-04 00:00:00 UTC,3316.6829546775257,398415781571.0026,16747190219.448904
2024-04-05 00:00:00 UTC,3332.089836615912,399925086690.5432,14937774084.622332
2024-04-06 00:00:00 UTC,3320.2815889834437,399471237820.5192,16263669860.819765
2024-04-07 00:00:00 UTC,3362.838907503287,403433979836.3418,8771021395.59551
2024-04-08 00:00:00 UTC,3453.4361261792887,414896585077.9774,9023927898.393978
2024-04-09 00:00:00 UTC,3695.239391141908,443574943819.1214,17999535003.639297
2024-04-10 00:00:00 UTC,3503.6535996841044,421250062703.58765,18894649449.12416
2024-04-11 00:00:00 UTC,3539.7630640649413,425100745638.6984,18116500905.294914
2024-04-12 00:00:00 UTC,3508.5784984486436,421184318805.19366,14665003517.99341
2024-04-13 00:00:00 UTC,3245.5005926983195,389342347417.11646,20300936214.359665
2024-04-14 00:00:00 UTC,3022.0057852476043,363676686678.5162,30855880984.660038
2024-04-15 00:00:00 UTC,3157.683765827796,379419782687.94165,26426482425.143723
2024-04-16 00:00:00 UTC,3101.190735674771,372249695864.17804,23408068977.225063
2024-04-17 00:00:00 UTC,3083.7060147660673,370234131392.0656,19716139064.53935
2024-04-18 00:00:00 UTC,2982.6157347097997,358157898515.81726,18555883608.901867
2024-04-19 00:00:00 UTC,3064.9115922294277,368394773234.49,15776619346.387112
2024-04-20 00:00:00 UTC,3065.682561565907,368924952677.7875,21398170387.2802
2024-04-21 00:00:00 UTC,3152.1915066519473,378601475454.5042,9245604715.543312
2024-04-22 00:00:00 UTC,3147.13775429932,377835271557.1954,9264213264.253492
