snapped_at,price,market_cap,total_volume
2024-01-25 00:00:00 UTC,152.5144247638353,2768812769.4368434,68571141.07095289
2024-01-26 00:00:00 UTC,157.52745777284025,2859665398.0946956,62393812.524850786
2024-01-27 00:00:00 UTC,159.2788766966234,2892882396.579821,75705792.95865223
2024-01-28 00:00:00 UTC,160.38065928504778,2911458227.1062346,50884060.891756356
2024-01-29 00:00:00 UTC,160.70210422663945,2915789248.8128567,54058282.95431184
2024-01-30 00:00:00 UTC,167.9139739550731,3042460229.231894,83257711.72449954
2024-01-31 00:00:00 UTC,160.28479803289926,2907245850.8732877,82495096.0479281
2024-02-01 00:00:00 UTC,165.67698115513798,3012030891.734656,94452123.3229823
2024-02-02 00:00:00 UTC,166.299962149288,3016572787.305737,93235294.76277211
2024-02-03 00:00:00 UTC,168.34075291270184,3054744432.4772053,78268335.3267834
2024-02-04 00:00:00 UTC,165.12364322089138,2995842622.320662,63249575.03161728
2024-02-05 00:00:00 UTC,165.8420434783557,3007251876.004455,51304184.45842675
2024-02-06 00:00:00 UTC,165.2336663478081,2997368455.8524475,62236003.46689486
2024-02-07 00:00:00 UTC,104.7009347074954,1900445770.380727,284942945.92809284
2024-02-08 00:00:00 UTC,129.60635754261443,2352727339.1326036,201383502.71836442
2024-02-09 00:00:00 UTC,128.31788233468887,2329425804.5822845,125866609.7380502
2024-02-10 00:00:00 UTC,121.92490598452414,2219427080.0580835,103758495.76052164
2024-02-11 00:00:00 UTC,119.06142307438651,2160732321.293011,69502984.74952927
2024-02-12 00:00:00 UTC,120.7099665759102,2190253389.802903,81838374.2678667
2024-02-13 00:00:00 UTC,126.29441071190679,2295283031.6707306,93123670.10075682
2024-02-14 00:00:00 UTC,128.1283578872301,2327641102.5480247,99502329.43835436
2024-02-15 00:00:00 UTC,127.583589801611,2315034872.5569835,92071642.43879911
2024-02-16 00:00:00 UTC,125.8644682396711,2286699257.065668,84045191.03250301
2024-02-17 00:00:00 UTC,122.74814882890735,2227611356.484416,73987305.89890432
2024-02-18 00:00:00 UTC,120.66014180240155,2186961600.3246627,53771390.23635078
2024-02-19 00:00:00 UTC,122.10784016486967,2217031005.6957283,60858177.42503667
2024-02-20 00:00:00 UTC,113.23726026767339,2054172794.4197767,92291587.12728414
2024-02-21 00:00:00 UTC,123.42585234206717,2239666610.673089,65144052.809640944
2024-02-22 00:00:00 UTC,122.2484390171602,2221760118.202294,44055227.39803953
2024-02-23 00:00:00 UTC,122.84496912141182,2227120901.445069,103881291.91883299
2024-02-24 00:00:00 UTC,123.12681525158939,2235569782.75669,47491678.506402805
2024-02-25 00:00:00 UTC,123.67840570391981,2244321822.778024,34360329.057102725
2024-02-26 00:00:00 UTC,129.3123925398306,2346493275.453873,601232443.8379402
2024-02-27 00:00:00 UTC,133.12575020491028,2414276797.2538767,45850703.65676777
2024-02-28 00:00:00 UTC,138.15781726577958,2511862238.730766,65327631.42223759
2024-02-29 00:00:00 UTC,134.38931302904538,2436776184.2995315,67155415.32422976
2024-03-01 00:00:00 UTC,136.8877785292233,2504379431.2313757,69474671.07711124
2024-03-02 00:00:00 UTC,144.13984592393308,2615178579.003511,55767876.28580603
2024-03-03 00:00:00 UTC,144.68440892848747,2626615021.8535852,60940765.074015185
2024-03-04 00:00:00 UTC,150.8878591218359,2736059763.3453603,70675731.92705135
2024-03-05 00:00:00 UTC,150.04059121791087,2717832510.403756,62372711.83780527
2024-03-06 00:00:00 UTC,141.54574116139275,2577567355.210137,89355374.39689535
